bp_rp,g_rp
1.1981106,0.69731903
1.9198112,0.9661007
2.789402,1.1573162
2.741024,1.3429184
1.5795116,0.8657532
,
1.9196033,1.318182
2.7056732,1.6574516
1.1999416,0.70041084
2.0966587,0.98293686
1.8418217,1.449606
2.880186,1.2479515
1.0988216,0.62732315
1.8800449,0.9558792
0.7255745,1.0634708
1.5151234,0.8160429
1.4708557,0.7918072
1.1105309,0.64094067
1.8523197,0.9405155
2.0654736,1.0551281
1.3426113,0.7441845
1.183878,0.6711178
1.8100128,0.92736435
1.2402687,0.7217808
1.8910999,1.0026188
2.6511803,1.1646004
1.1981258,0.68491364
1.386713,0.7402744
1.1259499,0.6477051
1.5334711,0.82301617
1.4580917,0.70023155
1.2638302,0.71853924
1.6869297,1.0190182
1.3219357,1.0479298
2.1163235,1.5213642
1.7863102,1.0752563
1.2051678,0.75647354
2.6004295,1.1685791
2.0785217,1.1007156
1.3039188,0.72802544
1.4877663,0.8599701
1.8958244,1.0682297
2.0691032,1.377451
0.9093151,0.60953903
4.006338,1.4248791
1.1821136,0.67800903
1.9972477,1.2429962
1.2683659,0.71372986
1.4561806,0.8089943
1.3368874,0.8599167
1.2320156,0.69434834
2.258606,1.0796661
2.2798977,1.0677223
2.25667,1.4237385
1.3951759,0.73415375
1.3458366,0.7077427
2.4912968,1.0762577
2.3453884,1.133009
1.2245216,0.61810493
1.0653801,0.6772957
1.3124924,0.7106209
1.4213505,0.7679634
1.0972252,0.6952038
2.5825615,1.3355484
2.71776,1.577837
1.2180271,0.6812782
1.4281406,0.8275986
1.2064419,0.68762016
1.0628872,0.9184437
1.2690811,0.6764221
2.506979,1.168335
1.1313992,0.65010643
1.6301842,0.8473129
1.753212,1.1683044
1.2747974,0.78264046
1.023675,0.6004095
1.3494682,0.67118645
1.9282799,2.910286
1.2771664,0.7583904
2.326952,1.028511
,
2.266511,1.1728888
1.2636623,0.70064926
2.186862,1.0512094
1.4435406,0.7283058
2.0989094,0.9929943
1.1903858,0.68316364
1.3291302,0.80465126
1.2130108,0.68369484
2.1633282,1.1551132
1.6384087,1.3675289
1.9012299,0.9597435
1.739871,0.89871883
2.3837519,1.1037645
1.2759514,0.82172585
1.4578629,0.77096176
1.7827606,0.8907604
2.9366455,1.2784691
1.1981258,0.67977524
1.8542671,1.0921898
0.9812603,0.59747314
2.0463104,1.1998253
2.89999,1.2662048
2.0147839,1.0001631
2.0300484,0.9971428
1.2819824,0.7113304
1.5807133,0.8692131
1.2647858,0.9384737
1.3356953,0.7466774
2.3143826,1.0675888
1.5962677,1.1383324
2.1300335,1.2757816
2.064682,0.96113396
1.3887634,0.7738056
1.3443928,0.901289
1.4984646,0.75218964
1.1859741,0.6475067
1.4302444,0.79271317
1.3576603,0.7425289
2.3724327,1.0663204
2.3628845,1.2734241
1.4961872,0.9061909
1.8665419,0.94223785
1.6147842,0.8541813
1.4265633,0.77322197
1.7082825,0.94962883
1.0243511,0.8999691
1.4323196,0.7594147
1.4098301,0.76467514
1.4155922,0.7522564
2.1193085,0.96138
,
1.1340942,0.7257633
2.149208,1.2607021
1.2301311,0.70007706
2.0591908,1.0113773
2.3270245,1.3867493
1.4213371,0.7919655
1.5949783,0.97873306
2.9108677,1.23526
3.127756,1.8261948
2.2010212,3.0992775
2.1098652,0.985342
0.57159996,0.4994583
2.4140205,2.9082642
2.237337,1.0566425
1.1592999,0.67738533
2.3761425,1.3099709
2.3373833,1.6016521
1.2317724,0.71583843
1.8411331,1.4418545
1.1536522,0.66290855
1.6289368,1.0030842
1.2503395,0.6939068
1.4738235,0.800663
1.3612404,0.7910404
1.6196556,0.86615944
1.4682446,0.7390747
1.20228,0.6604481
2.071804,1.0862427
1.1656132,0.66749
1.2266636,0.6453018
1.7522545,1.1260204
2.814354,1.217104
1.350832,0.74292564
1.2241459,0.6830368
1.0963535,1.061779
1.1474495,0.6794071
0.7279377,0.79740715
0.911726,0.7294941
2.3841915,1.0911102
2.078127,0.9980278
2.523857,1.2477608
1.3566189,0.9960613
1.6289196,0.82878304
1.1785259,0.680809
1.0921669,0.61509705
1.124795,0.6496954
1.0229836,0.5646095
2.1660976,0.9862995
0.62459373,0.7443409
1.6501045,0.8361664
1.9051113,0.89741516
1.0134525,0.7405491
1.9204206,0.9637556
0.9708557,0.54213715
2.9676323,1.2490749
1.1919537,0.6812
1.2973804,0.7476635
,
0.8158817,0.49780464
1.4180737,0.8452606
1.5879965,0.8453932
1.6929264,0.8741913
1.5734844,0.8754158
1.3812008,0.75896645
1.2526455,0.70843124
1.2252483,0.6946449
2.8383846,1.3014641
1.2807598,0.72187996
1.538702,0.98047256
1.8491936,0.9219742
2.1775227,1.3054543
2.0942078,1.1417675
1.3906631,0.759943
1.338604,0.7513561
2.1850395,1.0989475
2.463543,1.1328526
2.5846462,1.155262
2.2987041,1.1315784
1.6575127,0.8623028
1.4050179,0.7509918
1.2377472,0.7001915
1.6578178,1.041462
1.2855072,0.67043114
2.9137878,1.2656097
1.4681492,0.7674351
1.386775,0.77580357
1.5424747,0.94402504
1.3478813,0.75396156
1.2670994,0.6886139
2.2538738,1.0263996
1.4928608,0.7542515
1.4559689,0.75738907
1.2527351,0.7075405
1.14538,0.66750336
2.090767,1.1209888
2.047966,1.1642265
1.5590935,0.8315449
1.1688061,0.71610355
1.3870039,0.760787
1.2855663,0.70628166
2.5540104,1.3367233
1.1809387,0.6877041
1.3453655,0.7676697
1.3134861,0.7850704
1.0377293,0.77511406
,
2.0307426,0.9908352
1.1966743,0.67518234
2.2116966,1.2963753
2.217577,1.2021294
1.1831999,0.67486286
2.0651932,1.021183
1.5782051,0.8681469
3.039482,1.2729645
1.9837742,0.9785385
2.5999565,1.1755238
0.8922386,0.43886948
0.99840736,1.0893536
0.86247635,0.6784134
0.5166359,0.9719238
2.4573212,1.2288303
1.7625484,0.8448181
1.5851517,0.7802639
1.4716225,0.80374146
1.0745173,0.62628174
1.4903069,0.8144512
1.7388611,1.3791122
,
1.3685379,0.8028755
2.0545425,1.0102434
0.5330715,0.8984127
2.3509903,1.039547
2.0948505,1.0083637
2.939394,1.5004787
1.4084454,0.6006031
1.3080139,0.67803574
1.5233192,0.77186394
1.2776585,0.7876301
1.7368507,1.3384495
2.8868217,1.2072964
1.4073677,0.7890911
2.0458145,1.1644764
1.646286,0.9591522
1.1726637,0.67340755
1.4195194,0.7858505
1.7453117,0.86836815
2.375843,1.2140293
1.2564125,0.69781303
1.8768959,0.9497299
1.1138439,0.6551895
1.3344345,0.8542366
1.1386662,0.65909576
1.2436886,0.6558304
1.1756897,0.6709051
1.3810444,0.9488907
1.7332668,0.93540764
1.2621574,0.6784859
1.9569702,0.9786205
1.5590744,0.8261986
2.6080856,1.2001266
1.1116161,0.63554764
1.4236288,0.7816267
1.3784332,0.75644493
1.1371956,0.65213394
1.2100677,0.6875572
1.1910038,0.68754005
1.674572,1.1938686
,
0.8877125,0.8094177
2.4222355,0.8827362
1.546629,0.8264179
1.5901632,0.84447384
1.5352287,0.78577614
1.4740467,1.2052174
1.8743362,0.9494877
2.8688698,1.4494591
1.4594822,0.7860756
1.231247,0.742733
1.1308842,0.67415047
2.454153,1.1167889
1.157526,0.7806549
2.3224258,1.0876617
0.84425163,0.61621094
3.0372734,1.2519073
1.487711,0.9958706
1.1080675,0.6435232
1.197609,0.7662239
1.4173565,0.90782547
,
1.6705437,0.87031746
2.5492592,1.6447945
1.5812073,0.95882607
1.8983746,1.1642075
1.3384228,0.7688923
1.3881111,0.76441765
1.6790886,0.9041748
0.907917,0.65000725
1.1213856,0.6093025
2.2769585,1.2818604
1.2123775,0.65249443
,
2.0475922,1.3849449
1.5695534,0.87909317
2.6733532,1.2997532
1.771656,0.946455
0.9430561,0.6556301
1.5568924,0.82320976
1.3704281,0.71019554
1.4501171,0.7522888
1.1779709,0.67260456
2.3364391,1.1462288
2.4251194,1.492197
1.223669,0.67843056
2.1289673,1.010582
1.3942261,0.7626438
3.0011234,1.304409
1.9803333,1.2803383
1.544735,0.78216743
2.4740582,1.1878166
1.9125061,1.1056099
1.2644224,0.71259403
1.0955505,0.637413
1.2755089,0.66672516
1.3073006,0.77753067
1.8800812,1.1161766
1.4141331,1.0491428
2.6057138,1.1722403
1.7619076,0.97750664
1.4110279,0.7428627
1.8487043,0.9734106
1.380146,0.87620544
1.5777607,1.2184677
1.187994,0.71111107
2.3640137,1.1524181
0.7988033,0.58288574
2.1010828,1.0182419
1.1927624,0.6415558
1.2376442,0.6961136
3.049076,1.3244877
2.1267586,0.9706631
1.8546886,0.99632454
1.6201439,0.85403633
1.74193,2.292675
2.1926155,3.409029
1.7782898,0.94156647
,
1.2575817,0.7051525
2.7696838,1.1615677
1.3396511,0.6431694
1.470768,0.79021454
0.86706924,0.7397022
1.7740383,0.8966274
1.6464081,0.838377
1.2921753,0.65257645
1.8339233,1.4160938
2.4636517,1.2378445
2.5857925,1.2624798
1.126152,0.6538353
1.9054832,1.232338
1.3720455,0.7565937
1.379816,0.7641697
1.5046272,0.74228096
1.6107464,0.8505783
2.26828,1.466896
1.4248352,0.7564659
2.103569,1.067915
0.6207676,0.14764023
1.8468266,1.2019634
1.975071,1.0473518
1.371666,0.9367027
1.1090832,1.1952152
1.5131836,0.8103771
2.5270748,1.1143494
1.243145,0.6976948
1.300705,0.66314316
1.2501087,0.7042484
1.4333363,0.7800026
1.26647,0.7398281
0.90185356,0.59060097
2.4342728,1.0626354
3.4212132,1.2930012
1.4260616,0.76327324
1.399004,0.82266045
1.5947666,0.68800163
1.7500763,0.92129517
1.4261761,0.7643566
1.2363443,0.70446396
1.2725945,0.8042202
1.9856033,1.020216
1.2812271,0.5771637
1.2574577,0.70144653
1.4601059,0.7532959
1.3499813,0.72478867
1.3498306,0.7273636
2.414032,1.1231747
2.6965065,1.7632046
1.9054871,1.0763302
1.580019,0.942585
1.9778233,1.0883846
1.4231415,0.78334427
1.5416641,0.8008194
1.4662781,0.87140846
1.0776577,0.665308
1.4857588,0.7998133
1.2217999,0.6701565
1.0340528,0.6093378
2.6694336,1.3199425
1.7501659,0.8098068
1.1841412,0.82564735
1.6290493,1.0189285
2.265686,1.0616875
1.3876324,0.7615185
1.9917278,1.4283085
1.1963196,0.7539501
1.7114143,0.93955994
1.2882195,0.6263752
1.9882107,1.1548481
1.4992237,0.7836952
1.4923592,0.76338196
1.1280403,0.6367264
2.3701725,1.2276707
1.3812943,0.7504673
1.5041103,0.80711937
1.039278,0.6692047
1.3329945,0.7309303
1.4317474,0.86432457
1.170044,0.94174004
1.2042618,0.66866684
1.200655,0.6357994
1.2603836,0.73204803
2.786087,1.2239265
1.5965023,0.7666569
1.5205956,0.8861275
1.0546532,0.58433914
1.6008186,0.97512054
1.7798729,1.1297436
0.36618233,0.5655403
1.7516136,0.9107628
1.1693363,0.6819248
2.4836082,1.150547
1.2875481,0.70111847
1.2410603,0.7296581
2.2766018,1.0458546
1.5269899,0.81919575
2.4017487,1.0769863
1.2173252,0.6940079
2.6295586,1.1325855
1.2171917,1.1354733
1.1415482,0.6396885
1.0430088,0.5685692
1.3024426,0.7307024
1.7567272,2.7680893
1.8455906,1.289423
1.1461954,0.6616621
1.9260588,0.9628954
1.4379978,0.77975273
2.0938435,1.0661774
1.4785118,1.270462
1.0885868,0.6047058
1.2407551,0.9834881
1.3560772,0.7447567
1.3844242,1.4933357
1.470583,0.7176933
1.0625134,0.6093254
1.9311714,2.7903595
0.82974243,0.5047083
1.6408596,3.0057945
